Fuel Type Code,Station Name,Street Address,City,State,ZIP,Status Code,Groups With Access Code,Level1_Chargers,Level2_Chargers,DC_Fast_Chargers,EV_Network,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Connector_Types,Country,Total_Chargers,Total_Chargers_in_State
ELEC,HOSPITAL SRDH DE LIMA 02,39 Church St,Henderson,NV,89015,E,Public,0.0,2.0,0.0,Chargepoint Network,36.038442,-114.985813,2/8/2024,199335,2024-02-08 00:21:26 UTC,J1772,US,2.0,2004.0
ELEC,HOSPITAL SRDH DE LIMA 03,102 East Lake Mead Drive,Henderson,NV,89015,E,Public,0.0,2.0,0.0,Chargepoint Network,36.038358,-114.985772,2/8/2024,199336,2024-02-08 00:21:27 UTC,J1772,US,2.0,2004.0
ELEC,HOSPITAL WMH STATION 2,1325 Cottonwood St,Woodland,CA,95695,E,Public,0.0,2.0,0.0,Chargepoint Network,38.665304,-121.791309,2/8/2024,199337,2024-02-08 00:21:27 UTC,J1772,US,2.0,49387.0
ELEC,HOSPITAL SNMH 02,155 Glasson Way,Grass Valley,CA,95945,E,Public,0.0,2.0,0.0,Chargepoint Network,39.228103,-121.046891,2/8/2024,199338,2024-02-08 00:21:29 UTC,J1772,US,2.0,49387.0
ELEC,HOSPITAL AGCH STATION 3,345 S Halcyon Rd,Arroyo Grande,CA,93420,E,Public,0.0,2.0,0.0,Chargepoint Network,35.113496,-120.590421,2/8/2024,199339,2024-02-08 00:22:27 UTC,J1772,US,2.0,49387.0
ELEC,HOSPITAL 1805 MEDICAL 3,1805 Medical Center Dr,San Bernardino,CA,92411,E,Public,0.0,2.0,0.0,Chargepoint Network,34.131717,-117.322037,2/8/2024,199340,2024-02-08 00:22:29 UTC,J1772,US,2.0,49387.0
ELEC,HOSPITAL AGCH STATION 1,875 Fair Oaks Ave,Arroyo Grande,CA,93420,E,Public,0.0,2.0,0.0,Chargepoint Network,35.113022,-120.590239,2/8/2024,199341,2024-02-08 00:22:34 UTC,J1772,US,2.0,49387.0
ELEC,HOSPITAL NHMC 1,18300 Roscoe Blvd,Northridge,CA,91325,E,Public,0.0,2.0,0.0,Chargepoint Network,34.219627,-118.532616,2/8/2024,199342,2024-02-08 00:24:22 UTC,J1772,US,2.0,49387.0
ELEC,HOSPITAL NHMC 2,18300 Roscoe Blvd,Northridge,CA,91325,E,Public,0.0,2.0,0.0,Chargepoint Network,34.21968,-118.532684,2/8/2024,199343,2024-02-08 00:24:44 UTC,J1772,US,2.0,49387.0
ELEC,HOSPITAL NHMC 3,18300 Roscoe Blvd,Northridge,CA,91325,E,Public,0.0,2.0,0.0,Chargepoint Network,34.219722,-118.53271,2/8/2024,199344,2024-02-08 00:24:44 UTC,J1772,US,2.0,49387.0
ELEC,HOSPITAL 1805 MEDICAL 2,1805 Medical Center Dr,San Bernardino,CA,92411,E,Public,0.0,2.0,0.0,Chargepoint Network,34.131652,-117.321975,2/8/2024,199345,2024-02-08 00:25:00 UTC,J1772,US,2.0,49387.0
ELEC,HOSPITAL WMH STATION 1,1325 Cottonwood St,Woodland,CA,95695,E,Public,0.0,2.0,0.0,Chargepoint Network,38.665367,-121.791325,2/8/2024,199346,2024-02-08 00:25:29 UTC,J1772,US,2.0,49387.0
ELEC,HOSPITAL AGCH STATION 2,345 S Halcyon Rd,Arroyo Grande,CA,93420,E,Public,0.0,2.0,0.0,Chargepoint Network,35.113387,-120.590505,2/8/2024,199347,2024-02-08 00:25:34 UTC,J1772,US,2.0,49387.0
ELEC,HOSPITAL MET 2,7500 Hospital Dr,Sacramento,CA,95823,E,Public,0.0,2.0,0.0,Chargepoint Network,38.463412,-121.416933,2/8/2024,199349,2024-02-08 00:26:07 UTC,J1772,US,2.0,49387.0
ELEC,HOSPITAL SAC SYS OFC 1B,3400 Data Drive,Rancho Cordova,CA,95670,E,Public,0.0,2.0,0.0,Chargepoint Network,38.584348,-121.295057,2/8/2024,199350,2024-02-08 00:26:24 UTC,J1772,US,2.0,49387.0
ELEC,HOSPITAL SAC SYS OFC 1A,3400 Data Drive,Rancho Cordova,CA,95670,E,Public,0.0,2.0,0.0,Chargepoint Network,38.584361,-121.295085,2/8/2024,199351,2024-02-08 00:26:25 UTC,J1772,US,2.0,49387.0
ELEC,HOSPITAL 1805 MEDICAL,1805 Medical Center Dr,San Bernardino,CA,92411,E,Public,0.0,2.0,0.0,Chargepoint Network,33.951611,-118.387578,2/8/2024,199352,2024-02-08 00:34:40 UTC,J1772,US,2.0,49387.0
ELEC,HOSPITAL SJHMC_3RD A 2FL,2983 N 3rd Ave,Phoenix,AZ,85013,E,Public,0.0,2.0,0.0,Chargepoint Network,33.481603,-112.077946,2/8/2024,199355,2024-02-08 00:36:04 UTC,J1772,US,2.0,3486.0
ELEC,HOSPITAL SJHMC 3RDA 2FL2,2983 N 3rd Ave,Phoenix,AZ,85013,E,Public,0.0,2.0,0.0,Chargepoint Network,33.481568,-112.077941,2/8/2024,199356,2024-02-08 00:37:04 UTC,J1772,US,2.0,3486.0
ELEC,HOSPITAL FHMC_5,1823 Johnson Ave,San Luis Obispo,CA,93401,E,Public,0.0,2.0,0.0,Chargepoint Network,35.278503,-120.652406,2/8/2024,199357,2024-02-08 00:39:37 UTC,J1772,US,2.0,49387.0
ELEC,HOSPITAL FHMC_6,1690 Fairview St,San Luis Obispo,CA,93401,E,Public,0.0,2.0,0.0,Chargepoint Network,35.278781,-120.652227,2/8/2024,199358,2024-02-08 00:39:37 UTC,J1772,US,2.0,49387.0
ELEC,HOSPITAL FHMC_7,1339 Breck St,San Luis Obispo,CA,93401,E,Public,0.0,2.0,0.0,Chargepoint Network,35.278765,-120.65177,2/8/2024,199359,2024-02-08 00:39:37 UTC,J1772,US,2.0,49387.0
ELEC,HOSPITAL FHMC_8,1941 Johnson Ave,San Luis Obispo,CA,93401,E,Public,0.0,2.0,0.0,Chargepoint Network,35.278708,-120.651864,2/8/2024,199360,2024-02-08 00:39:37 UTC,J1772,US,2.0,49387.0
